number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_for_bin,params_subsample_freq,state
48,0.6831952356292076,2021-08-21 13:59:24.027073,2021-08-21 14:00:49.574919,0 days 00:01:25.547846,0.7565633054527651,4,12,18,9.227390524184681,0.00047099876299708905,0.8286044854547604,5304,8,COMPLETE
49,0.6597617814603832,2021-08-21 14:00:49.576040,2021-08-21 14:01:33.773353,0 days 00:00:44.197313,0.6671546326545943,2,8,30,0.013067368943817607,0.0028017786836197186,0.7240970164938774,2373,8,COMPLETE
50,0.675297773174521,2021-08-21 14:01:33.774742,2021-08-21 14:02:37.940661,0 days 00:01:04.165919,0.5707114052499332,3,30,21,0.3398755498926067,0.014754736151876342,0.6832671664548293,2820,1,COMPLETE
51,0.690574831693423,2021-08-21 14:02:37.942910,2021-08-21 14:04:24.569700,0 days 00:01:46.626790,0.5614396507581103,3,5,27,2.3888830771300547,0.003978084834683623,0.9045355062458834,1725,9,COMPLETE
52,0.6900569653029518,2021-08-21 14:04:24.570922,2021-08-21 14:05:55.052232,0 days 00:01:30.481310,0.5248450180693122,4,4,28,1.6801935519742006,0.004501875788712035,0.9155350992027972,1955,9,COMPLETE
53,0.685007767995857,2021-08-21 14:05:55.053388,2021-08-21 14:07:09.323222,0 days 00:01:14.269834,0.5942916202389718,3,2,26,0.653941175076859,0.019918597502455872,0.9648293075687845,1144,10,COMPLETE
54,0.6812532366649404,2021-08-21 14:07:09.324920,2021-08-21 14:10:29.472366,0 days 00:03:20.147446,0.49827378193200345,3,7,3,5.051426864767209,0.0011598254803396363,0.902738688450353,1600,9,COMPLETE
55,0.6732263076126359,2021-08-21 14:10:29.473890,2021-08-21 14:12:26.256633,0 days 00:01:56.782743,0.4459219493004332,2,4,28,0.7349176566136205,3.0204675569523854e-06,0.793051574122853,4085,10,COMPLETE
56,0.6798291040911445,2021-08-21 14:12:26.257937,2021-08-21 14:13:26.024814,0 days 00:00:59.766877,0.548887718147491,4,10,30,0.21587524596941784,0.0007235309760526451,0.8483656523788277,821,9,COMPLETE
57,0.6904453650958053,2021-08-21 14:13:26.026142,2021-08-21 14:15:08.807609,0 days 00:01:42.781467,0.4133435667937153,3,2,25,1.9056145167149878,6.911729914346707e-05,0.9737646219011776,2560,6,COMPLETE
